"['japanese city pop', 'shibuya-kei']",7sig6cLBFzvY1EK2yRQVZQ,神を忘れて、祝へよ X'mas time - A NIGHT IN THE NEXT LIFE,0.00749,0.336,0.37,-14.831,0.579,0.713,0.513,101.887,0.0315,1,293973,4,7
"['classic swedish pop', 'swedish pop']",4VDTjtTRTXFx0nOczt77rK,Kär och galen,0.263,0.0,0.86,-5.388,0.889,0.324,0.491,135.67,0.0377,1,326653,4,7
"['acoustic pop', 'neo mellow', 'pop', 'pop rock', 'viral pop']",4bfQUMktjeDwZ7oIOOR1FX,A Beautiful Mess,0.285,0.0,0.14,-12.055,0.233,0.209,0.534,119.681,0.0337,1,337973,3,4
"['alternative dance', 'art pop', 'bass music', 'chillwave', 'electra', 'electronic', 'future garage', 'indietronica', 'microhouse', 'new rave', 'wonky']",5mhpnGG2yC9lDC4u8inh34,Slow,0.748,0.939,0.263,-6.481,0.874,0.215,0.503,120.837,0.14,1,199307,4,0
"['alternative dance', 'dance pop', 'electropop', 'indietronica', 'neo-synthpop', 'new rave', 'pop']",5njQjRjnWdX4bywtojFXrt,Growing Pains - Bonus Album Track,0.00204,6.44e-06,0.858,-3.258,0.647,0.066,0.723,144.01,0.0387,1,206987,4,6
"['disney', 'movie tunes']",3jfP2KB5dBHTzorTEjlY7P,All In Love Is Fair,0.942,2.79e-06,0.141,-15.153,0.0953,0.0861,0.445,140.375,0.0361,0,215467,4,9
"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",0vZLTe18hmVLoZi9sFdPaz,"The Invisible Woman (From ""The Invisble Woman"")",0.965,0.713,0.0519,-21.005,0.0807,0.0971,0.16,77.138,0.0335,1,404893,4,7
"['big beat', 'breakbeat', 'electronic', 'hardcore techno']",1KGDKnhsF2EHorjtYBZpVM,Nasty,6.96e-05,0.00714,0.305,-6.349,0.902,0.198,0.127,185.831,0.0987,1,243467,5,2
"['bossa nova', 'jazz guitar', 'mpb', 'samba']",1fR40y4u7OgrskeNR4Lef9,Morena boca de ouro,0.919,0.966,0.572,-19.352,0.138,0.127,0.525,84.6,0.0376,0,119092,4,6
"['adult standards', 'christmas', 'lounge', 'vocal jazz']",5TVDGjCbqzbDCIsBm6FHgM,Boulevard Of Broken Dreams,0.951,0.00265,0.296,-21.061,0.111,0.106,0.538,73.772,0.0326,0,387107,4,5
['deep comedy'],1DnHBtEFSXzeb4nkvATjz1,Tiny Towns,0.63,0.0,0.753,-14.743,0.535,0.793,0.573,81.805,0.89,0,51360,3,8
"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'ranchera', 'tropical']",23W4hfaGMpOBK91vrbs7SN,Si Dios Me Quita la Vida,0.769,0.0162,0.397,-14.651,0.232,0.301,0.407,90.086,0.0315,1,274120,4,10
"['classic opm', 'manila sound', 'opm']",6AQmiFKd1ZrMNii3PL7FhG,Di Na Natuto,0.195,0.000895,0.0979,-13.716,0.243,0.252,0.192,171.824,0.0305,1,268760,3,7
"['acoustic pop', 'chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'neo mellow', 'new americana', 'stomp and holler']",28mA7CHtTktmimLPf9lPef,Joy,0.9,2.05e-06,0.306,-10.758,0.301,0.101,0.514,96.493,0.0264,0,150640,4,4
"['art pop', 'ectofolk', 'folk', 'folk-pop', 'lilith', 'melancholia', 'new wave pop', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']",5oK9hlrULIlj5yG2DTr7eU,Posse Bonus,0.193,0.00286,0.75,-14.161,0.492,0.154,0.79,113.02,0.0294,0,105093,4,1
"['downtempo', 'new age']",6eAEpHCRLhGRvehKp2JzbG,Principles Of Lust,0.229,0.937,0.641,-10.06,0.577,0.327,0.567,190.093,0.0437,1,188600,4,10
"['jazz funk', 'jazz fusion', 'jazz piano', 'smooth jazz']",4X4MsUNKDdLG8XNtFDtA2j,Lovers In Moonlight,0.811,0.865,0.269,-15.07,0.279,0.0944,0.667,110.04,0.0328,0,377253,4,2
['chamber orchestra'],7Jyx4QRQ2K7O9jG2ZVrTQa,"String Symphony No. 1 in C Major, MWV N1: I. Allegro",0.973,0.823,0.551,-12.08,0.361,0.0874,0.473,142.395,0.0327,1,143853,3,0
"['german dance', 'german techno', 'progressive trance', 'trance', 'uplifting trance']",1dkFYqA7y4SPWvpaaiZ1Q5,I'm Here,0.035,0.0,0.501,-4.74,0.809,0.173,0.631,121.94,0.0378,0,241969,4,9
